,Lat,Long,Month,Day,Year,"Chlorophyll a, total",Divinyl chlorophyll a,Chlorophyll b,19-Hexanoyloxyfucoxanthin,19-Butanoyloxyfucoxanthin,Fucoxanthin,Peridinin,Alloxanthin,Zeaxanthin
3589,31.658,-64.164,3.0,19.0,1996.0,-2.0874737133770993,-7.287307161052228,-4.961845129926808,-2.9957322735539886,-4.199705077879919,-5.5214609178622185,-36.7368005696771,-6.907755278982026,-4.268697949366871
3590,31.583,-64.134,3.0,20.0,2000.0,-1.0526833567797096,-6.873257429711642,-3.015934980871508,-2.847312268435716,-4.135166556742349,-5.115995809754064,-4.268697949366871,-11.434897017378422,-3.6851722678384595
3591,31.625,-64.271,6.0,20.0,2002.0,-3.146555163288572,-5.881294672201879,-5.80914299031399,-5.115995809754064,-5.5214609178622185,-5.80914299031399,-6.907755278982026,-6.907755278982026,-4.719115914417444
3592,31.593,-64.095,4.0,20.0,2004.0,-1.3318061758358204,-6.454913193029962,-4.422848629194127,-2.8302178350764158,-3.2701691192557485,-4.074541934925914,-36.7368005696771,-5.115995809754064,-3.688879454113932
3593,31.672,-64.204,6.0,20.0,2004.0,-2.847312268435716,-6.257782970240333,-5.115995809754064,-4.828313737302287,-5.5214609178622185,-36.7368005696771,-6.214608098422136,-6.214608098422136,-4.509860006183756
3594,31.669,-64.159,11.0,20.0,2005.0,-3.244193632852488,-4.835433266510374,-6.214608098422136,-4.342805921520592,-5.298317366548014,-5.80914299031399,-6.907755278982026,-6.907755278982026,-3.6119184129778037
3595,31.9,-62.718,11.0,20.0,2006.0,-2.312635428847546,-3.7360377382638608,-4.828313737302287,-3.4737680744969874,-4.268697949366871,-5.298317366548014,-6.214608098422136,-6.907755278982026,-3.442019376182407
3596,31.61,-64.067,5.0,20.0,2007.0,-2.780620893937044,-7.068343661699675,-5.5214609178622185,-4.017383521085966,-5.115995809754064,-5.80914299031399,-6.214608098422136,-36.7368005696771,-4.268697949366871
3597,9.9826,64.9016,1.0,18.0,1995.0,-1.9951003932460842,-2.780620893937044,-4.199705077879919,-3.3242363405260242,-4.199705077879919,-5.115995809754064,-5.80914299031399,-36.7368005696771,-2.525728644308254
3598,10.8172,64.9988,1.0,19.0,1995.0,-0.9888614247089902,-2.0635681925235447,-3.0791138824930395,-2.047942874620464,-2.780620893937044,-3.963316299815691,-4.60517018598808,-6.214608098422136,-2.009915479031225
3599,16.4328,61.2499,1.0,25.0,1995.0,-1.1711829815029449,-3.7722610630529827,-2.7488721956224635,-2.1541650878757714,-2.8302178350764158,-3.218875824868198,-4.342805921520592,-5.298317366548014,-2.3968957724652857
3600,17.2886,67.9308,7.0,24.0,1995.0,-1.0966142860054362,-2.322787800311564,-3.4112477175156535,-2.407945608651871,-3.1235656450638736,-3.863232841258709,-5.115995809754064,-5.80914299031399,-2.2349264445202297
3601,17.1724,59.8995,8.0,7.0,1995.0,-0.6106459590482013,-6.214608098422136,-2.673648774384876,-1.3983669423541594,-2.2926347621408762,-2.6882475738060285,-4.199705077879919,-4.828313737302287,-2.333044300478753
3602,14.8112,64.2497,8.0,2.0,1995.0,-0.24846135929849947,-36.7368005696771,-2.4304184645039295,-0.9649559038554358,-2.4418471603275522,-2.6592600369327766,-4.961845129926808,-5.80914299031399,-2.8134107167600346
3603,17.2018,59.7662,8.0,6.0,1995.0,-0.30245735803393514,-5.80914299031399,-2.2349264445202297,-1.2039728043259357,-2.2730262907525,-2.4418471603275522,-3.575550768806929,-3.6496587409606507,-1.777856564059063
3604,17.6811,58.8347,9.0,9.0,1995.0,-0.9702190738997104,-36.7368005696771,-3.6119184129778037,-2.7333680090864982,-3.540459448995659,-2.3025850929940446,-3.4112477175156535,-6.907755278982026,-4.509860006183756
3605,22.5243,61.6246,11.0,3.0,1995.0,-0.5960204698292223,-3.575550768806929,-2.71810053695571,-1.6194882482876012,-3.3242363405260242,-3.1941832122778266,-4.342805921520592,-4.828313737302287,-2.1037342342488796
3606,10.2002,64.9,12.0,10.0,1995.0,-1.431291727050626,-2.1715568305876407,-4.710530701645905,-2.673648774384876,-3.863232841258709,-5.115995809754064,-5.298317366548014,-36.7368005696771,-2.4651040224918193
